# ==================================================================================================================================================================================================================================================================================
# Minimum inception voltage(+)  = 28073.8,	 x = (0.0151028,0.00732819)
# Minimum inception voltage(-)  = 28074.5,	 x = (0.0149995,0.00737793)
# 
# Streamer inception voltage(+) = 28073.8,	 x = (0.0151028,0.00732819)
# Streamer inception voltage(-) = 28074.5,	 x = (0.0149995,0.00737793)
# 
# Townsend inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Townsend inception voltage(-) = 1.79769e+308,	 x = (0,0)
# ==================================================================================================================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Pos. max K(+)           Pos. max K(-)           Max T(+)            Max T(-)            Pos. max T(+)           Pos. max T(-)           Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================================================================================================================
24072          4.6583         4.63417        (0.015103, 0.007328)    (0.015000, 0.007358)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    0                   0                   0                   0                   2.32446e-07         
25275.6        5.32022        5.31953        (0.015103, 0.007328)    (0.015000, 0.007368)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    0                   0                   0                   0                   2.57581e-07         
26539.4        6.06852        6.03814        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    0                   0                   0                   0                   2.8972e-07          
27866.4        6.86872        6.86855        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    0                   0                   0                   0                   3.21025e-07         
29259.7        7.75034        7.74876        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    2.83552e-10         1.80565e-09         7.44006e-05         0.000136719         3.5498e-07          
30659.9        8.68864        8.70798        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    1.18515e-09         5.22163e-09         0.000127058         0.000214844         3.98964e-07         
31966.4        9.5683         9.59118        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    2.3228e-09          9.44824e-09         0.000166211         0.000292969         4.3826e-07          
33307.8        10.5163        10.5045        (0.015108, 0.007343)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    3.86427e-09         1.48138e-08         0.000216422         0.000341797         4.82916e-07         
34630.9        11.4759        11.5237        (0.015103, 0.007328)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    5.61154e-09         2.00895e-08         0.000256749         0.000419922         5.29769e-07         
35834.6        12.3531        12.3972        (0.015108, 0.007343)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    7.6972e-09          2.56176e-08         0.000309812         0.000488281         5.79384e-07         
37112.5        13.3515        13.3534        (0.015108, 0.007343)    (0.015000, 0.007388)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    1.00494e-08         3.13029e-08         0.000348884         0.000546875         6.35536e-07         
38354.6        14.2981        14.2889        (0.015108, 0.007343)    (0.015000, 0.007397)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    1.26043e-08         3.7193e-08          0.000397712         0.000595703         6.98792e-07         
39583          15.2499        15.2845        (0.015108, 0.007343)    (0.015000, 0.007378)    0                   0                   (0.015020, 0.006270)    (0.015020, 0.006270)    1.56582e-08         4.31123e-08         0.000441658         0.000673828         7.57852e-07         
# ==================================================================================================================================================================================================================================================================================
